,STAMINA 2.0 (PRISM),,,STAMINA 2.0,,
Model,Pmin,Pmax,Window,Pmin,Pmax,Window
Circuit 010 to 100,0.395048521778638,0.395115209178156,6.66873995179285E-05,0.395050929649,0.395100628307,4.96986579999748E-05
Circuit 010 to 111,0.016594466322509,0.016783430486377,0.000188964163868,0.016505543507,0.018699379621,0.002193836114
Circuit 100 to 111,0.016627243186786,0.01682296631352,0.000195723126734,0.016536754574,0.018790310621,0.002253556047
Circuit 111 to 010,0.694656523286798,0.694808764492919,0.000152241206121,0.694661414548,0.694745396062,8.398151400002E-05
Circuit 100 to 010,0.455029707750434,0.455120325365032,9.06176145982762E-05,0.455034655826,0.455085701619,5.10457930000263E-05
Circuit 111 to 100,0.735722566875715,0.735846036452707,0.000123469576992,0.735725863933,0.735790289053,6.44251200000445E-05
Circuit 000 to 011,0.826019152979041,0.826159295100921,0.00014014212188,0.825704905869,0.826679465675,0.000974559806
Circuit 011 to 101,0.989516178692955,0.989742961463447,0.000226782770492,0.989293759947,0.990188233161,0.000894473214
Circuit 000 to 101,0.99023568796506,0.990472905091317,0.000237217126257,0.990015119309,0.990911760692,0.000896641383
Circuit 101 to 000,0.864410882646364,0.864464495038723,5.36123923586818E-05,0.86441763714,0.864456067813,3.84306730000228E-05
Circuit 011 to 000,0.85743647460294,0.85750487270771,6.83981047701065E-05,0.857436474618,0.857504872723,6.83981050000337E-05
Circuit 101 to 011,0.989490726101482,0.989802643380253,0.000311917278771,0.989271919304,0.990226828364,0.00095490906
Tandem 2047,0.498962403458025,0.49896852263031,6.11917228532377E-06,0.498962403624,0.498968522796,6.11917199999645E-06
Tandem 4095,0.499263342110593,0.499269661012578,6.31890198443674E-06,0.499263342334,0.499269661236,6.31890199997986E-06
Polling N = 12,1,1,0,1,1,0
Polling N = 16,1,1,0,1,1,0
Polling N = 20,1,1,0,1,1,0
Jackson (5 N 4),0.865393695562323,0.865546456027709,0.000152760465386,0.865436980629,0.86545268469,1.57040610000436E-05
Jackson (5 N 5),0.819441132793889,0.82015905363653,0.00071792084264,0.819599344747,0.819810380867,0.00021103612
Toggle 0,0.013098420938046,0.013104290867654,5.86992960816685E-06,0.013098420939,0.013104290868,5.86992899999882E-06
Toggle 100,0.991783353102071,0.99178927806007,5.9249579987819E-06,0.991784518436,0.991789226453,4.70801700003243E-06
